user_id,book_id,rating
58,26,1
58,58,4
58,18,5
58,14,3
58,2,3
58,653,5
58,5,4
58,13,4
58,24,4
58,21,5
58,27,4
58,10,4
58,11,4
58,65,4
62,572,5
62,171,3
62,1041,4
62,701,4
58,8336,4
58,2716,4
58,7639,5
58,941,3
58,4640,4
58,177,5
58,80,5
58,4068,4
58,270,3
58,8946,5
58,66,5
58,148,4
58,5551,4
58,189,4
69,8,5
69,89,4
69,35,3
69,26,3
69,4,5
69,32,5
69,5,5
58,885,3
58,311,3
58,2902,3
58,1206,1
58,6921,4
58,2302,2
58,629,2
58,43,3
58,6383,4
58,378,4
58,5730,3
167,1877,4
167,691,4
167,9998,3
167,8687,4
167,3109,4
167,7501,3
167,5244,3
167,109,5
167,95,4
167,180,4
167,354,2
167,26,1
167,741,1
167,496,3
167,959,3
167,289,5
167,595,3
167,1681,2
167,79,5
167,1411,4
167,87,5
167,59,4
167,3106,5
167,3400,4
167,4983,4
167,4475,5
167,2027,3
167,8361,4
167,2193,3
167,3417,4
167,1843,4
167,2810,3
167,48,4
167,317,3
167,2508,3
167,1133,4
167,4455,3
167,2666,4
167,4383,3
167,225,4
167,3197,4
167,1305,4
167,1518,4
167,129,3
167,350,4
167,2240,3
167,1622,4
167,487,3
167,9773,4
167,501,4
167,3320,5
167,7436,3
167,8625,3
167,5378,3
167,3676,2
167,1365,4
167,7836,3
167,4865,3
167,1999,4
167,7769,3
167,1650,4
167,1797,3
167,371,4
167,1435,4
167,78,1
167,868,5
167,497,3
167,576,3
167,4994,4
167,763,2
167,512,4
167,729,2
167,1364,3
167,934,3
167,9255,4
167,478,3
167,388,4
167,2385,4
167,9019,2
167,1005,3
167,2931,4
167,4974,5
167,8,5
167,14,3
167,7309,4
167,6119,5
167,80,5
167,2355,3
167,7874,3
167,7407,3
167,6892,4
183,33,3
183,550,5
183,3092,4
183,430,4
183,380,4
183,249,5
183,495,4
183,162,4
183,872,4
183,1888,4
183,2004,4
183,5274,4
183,4418,4
183,570,4
183,795,4
183,2193,3
183,101,5
183,344,4
183,372,4
183,211,3
183,895,3
167,395,4
167,2304,4
167,1605,1
183,1383,5
183,113,4
62,718,4
263,6242,4
263,11,3
263,4772,5
263,5313,5
263,6148,1
263,3366,4
263,521,4
263,4025,5
263,2754,5
263,3198,5
263,2574,5
263,3280,5
263,2497,5
263,3982,5
263,8,5
263,4,5
263,26,2
263,13,5
263,101,5
263,471,3
263,76,5
263,171,5
263,65,5
263,33,3
263,55,4
263,58,5
263,32,5
263,115,5
263,60,4
263,35,3
263,495,5
263,45,5
301,1420,4
301,32,3
301,13,4
301,14,3
301,1332,4
